Tipo de Publicacion;Titulo;Nombre de Publicacion;Estado;Ambito;Tipo;Autores;Ejercicio
ARTICULO;Bustillos-Guzman J. J., Band Schmidt C.J., Duran-Riveroll L.M., Hernandez-Sandoval, F.E. , Lopez-Cortes D.J., Nunez-Vazquez E.J, Cembella A. , Krock B. 2015. Paralytic toxin profile of the marine dinoflagellate Gymnodinium catenatum from the Mexican;Food Additives and Contaminants part A;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Bustillos Guzman, J. J., Band Schmidt, C., Duran Riveroll, L., Hernandez Sandoval, F. E., Lopez Cortes, D. J., Nunez Vazquez, E. J., Cembella, A., Krock, B.;2015
ARTICULO;Nuevo registro del genero Dinothrombium (Acaro, Parasitengona, Trombidiidae) como parasito de Syspira longipes (Araneae:Miturgidae);Revista Mexicana de Biodiversidad;PUBLICADO;NACIONAL;INDEXADO ISI O CONACYT;Vazquez Rojas, I., Lopez Campos, M. G., Jimenez Jimenez, M. L., Palacios Cardiel, C.;2015
ARTICULO;Diversity patterns of ground dwelling spiders (Arachnida, Araneae) in five prevailing plant communities of the Cuatro Cienegas Basin, Coahuila, Mexico;Revista Mexicana de Biodiversidad;PUBLICADO;NACIONAL;INDEXADO ISI O CONACYT;Bizuet Flores, M. Y., Jimenez Jimenez, M. L., Zavala Hurtado, A., Corcuera Martinez del Rio, P.;2015
ARTICULO;Las aranas de los oasis de la region meridional de la peninsula de Baja California, Mexico.;Revista Mexicana de Biodiversidad;PUBLICADO;NACIONAL;INDEXADO ISI O CONACYT;Jimenez Jimenez, M. L., Nieto Castaneda, I. G., Correa Ramirez, M. M., Palacios Cardiel, C.;2015
ARTICULO;Chlorella sorokiniana (formerly C. vulgaris) UTEX 2714, a non-thermotolerant microalga useful for biotechnological applications and as a reference strain;Journal of Applied Phycology;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Bashan Binjamin, Y., Lopez, B. R., Huss, V. A. R., Amavizca, E., Gonzalez De Bashan, L. E.;2015
ARTICULO;Involvement of indole-3-acetic acid produced by Azospirillum brasilense in accumulating intra-cellular ammonium in Chlorella vulgaris.;Research in Microbiology;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Meza, B., Gonzalez De Bashan, L. E., Bashan Binjamin, Y.;2015
ARTICULO;Activity of acetyl-CoA carboxylase is not directly linked to accumulation of lipids when Chlorella vulgaris is co-immobilised with Azospirillum brasilense in alginate under autotrophic and heterotrophic conditions;Annals of Microbiology;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Leyva, L., Bashan Binjamin, Y., Gonzalez De Bashan, L. E.;2015
ARTICULO;Cultivo de ostion Crassostrea gigas: Analisis de 40 anos de actividades en Mexico;Hidrobiologica;PUBLICADO;NACIONAL;INDEXADO ISI O CONACYT;Chavez Villalba, J. E.;2015
ARTICULO;Larval and post-larval growth, spat production and off-bottom cultivation of the smooth venus clam Chionista fluctifraga;Aquaculture Research;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Castillo Duran, A., Hoyos Chairez, F., Arreola Lizarraga, J. A., Martinez Cordova, L., Chavez Villalba, J. E.;2015
ARTICULO;Accumulation of intra-cellular polyphosphate in Chlorella vulgaris cells is related to indole-3-acetic acid produced by Azospirillum brasilense;Research in Microbiology;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Meza, B., Gonzalez De Bashan, L. E., Hernandez, J. P., Bashan Binjamin, Y.;2015
ARTICULO;Oxidative Stress in Patients with Rheumatoid Arthritis;REVISTA DE INVESTIGACION CLINICA;PUBLICADO;NACIONAL;INDEXADO ISI O CONACYT;Garcia Gonzalez, A., Gaxiola Robles, R., Zenteno Savin, T.;2015
ARTICULO;Surviving environmental stress: the role of betaine aldehyde dehydrogenase in marine crustaceans;Invertebrate Survival Journal;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Stephens Camacho, A., Muhlia Almazan, A., Sanchez Paz, J. A., Rosas Rodriguez, J. A.;2015
ARTICULO;Differential expression of serine protease inhibitors 1 and 2 in Crassostrea corteziensis and C. virginicainfected with Perkinsus marinus;Diseases of Aquatic Organisms;PUBLICADO;INTERNACIONAL;INDEXADO ISI O CONACYT;Gutierrez Rivera, J. N., Arcos Ortega, G. F., Luna Gonzalez, A., Rodriguez Jaramillo, M. C., Arechiga Carvajal, E., Vazquez Juarez, R.;2015
